#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
V,xorg-minimal,"is the graphical server."
V,xorg-fonts,"is a font package."
V,xinit,"starts the graphical server."
V,xdg-utils,"are filetype utilities."
,xdg-user-dirs,"Manage user directories like ~/Desktop and ~/Music"
,inter-font,"A typeface specially designed for user interfaces"
,picom,"A compositor with kawase-blur"
A,rofi-git,"Window switcher, application launcher and dmenu replacement"
A,light-git,"Window switcher, application launcher and dmenu replacement"
,maim,"can take quick screenshots at your request."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,imagemagick,"An image viewing/manipulation program "
,xclip,"allows for copying and pasting from the command line."
V,xprop,"is a tool for detecting window properties."
,blueman,"default launch application for bluetooth widget"
,redshift,"Sets color temperature of display according to time of day"
,xfce4-power-manager,"Manages power"
,upower,"upower - UPower command line tool"
,noto-fonts-emoji,"Google Noto emoji fonts"
